metric,value
total_input_rows,2455221
eligible_rows_for_join,2455221
matched_rows_within_tolerance,1814825
unmatched_rows_beyond_tolerance,640396
match_rate,0.73917
total_assets_with_matches,12569
flagged_assets_count,5044
critical_assets_count,3269
high_assets_count,1775
moderate_assets_count,1564
low_assets_count,5863
insufficient_data_assets_count,98
join_method,nearest_neighbor_haversine
distance_tolerance_ft,100.0
min_observations,20
asset_flag_threshold,0.3
avalon_used_in_automated_join,no
avalon_reference_file_provided,yes
notes,Avalon PDF is an approximate exhibit map and was not used in automated spatial join.
